City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,adrar,20.5,-10.07,81.37,16,18,10.4,MR,1589008461
126,sindor,62.86,51.89,52.7,58,65,3.71,RU,1589008461
127,chuy,-33.7,-53.46,48.76,84,0,6.24,UY,1589008461
128,guerrero negro,27.98,-114.06,65.66,79,0,8.21,MX,1589008369
129,samarai,-10.62,150.67,80.69,81,58,14.97,PG,1589008462
130,pisco,-13.7,-76.22,64.4,88,100,8.05,PE,1589008462
131,russell,32.35,-85.2,60.8,72,75,11.41,US,1589008462
132,takoradi,4.88,-1.76,80.44,87,58,5.1,GH,1589008463
133,bardiyah,31.76,25.09,65.59,57,2,8.63,LY,1589008463
134,ambon,-3.7,128.18,89.6,62,40,8.05,ID,1589008464
135,la crosse,43.8,-91.24,33.8,50,1,3.36,US,1589008228
136,parrita,9.52,-84.32,73.4,78,100,4.7,CR,1589008464
137,nishihara,26.18,127.76,80.6,83,75,10.29,JP,1589008464
138,sukpak,51.67,94.63,55.56,34,40,3.42,RU,1589008465
139,salta,-24.79,-65.41,41.0,93,0,2.24,AR,1589008465
140,vaini,-21.2,-175.2,78.8,88,75,8.05,TO,1589008465
141,maceio,-9.67,-35.74,71.6,100,20,5.82,BR,1589008317
142,la ronge,55.1,-105.28,32.0,96,75,5.82,CA,1589008465
143,castro,-24.79,-50.01,49.69,93,97,6.67,BR,1589008282
144,saint-sauveur-des-monts,45.9,-74.17,35.01,40,75,13.87,CA,1589008466
145,lorengau,-2.02,147.27,85.01,74,25,5.7,PG,1589008466
146,bredasdorp,-34.53,20.04,62.6,82,95,8.05,ZA,1589008466
147,roald,62.58,6.13,42.8,81,100,5.82,NO,1589008467
148,westport,41.14,-73.36,35.01,95,100,17.02,US,1589008467
149,belmonte,-15.86,-38.88,68.0,88,75,5.82,BR,1589008468
150,nome,64.5,-165.41,44.6,75,1,14.99,US,1589008361
151,atbasar,51.8,68.33,74.03,23,86,21.61,KZ,1589008468
152,svetlogorsk,52.63,29.73,54.09,54,38,4.81,BY,1589008468
153,george,-33.96,22.46,59.0,100,90,3.36,ZA,1589008468
154,mehamn,71.04,27.85,33.84,87,100,15.73,NO,1589008469
155,cherskiy,68.75,161.3,40.08,71,0,7.45,RU,1589008469
156,buala,-8.14,159.59,83.73,78,10,6.46,SB,1589008469
157,bariri,-22.07,-48.74,57.2,100,7,8.05,BR,1589008330
158,alyangula,-13.85,136.42,78.8,88,90,1.12,AU,1589008469
159,umm kaddadah,13.6,26.69,91.36,9,93,19.22,SD,1589008470
160,isilkul,54.91,71.27,77.02,31,0,12.93,RU,1589008470
161,yaan,7.38,8.57,80.06,80,80,7.16,NG,1589008470
162,klaksvik,62.23,-6.59,37.4,74,92,16.11,FO,1589008470
163,altayskoye,51.95,85.33,67.33,36,0,12.15,RU,1589008471
164,zyryanka,65.75,150.85,39.0,75,36,6.44,RU,1589008471
165,antalaha,-14.9,50.28,79.99,76,20,8.81,MG,1589008471
166,coquimbo,-29.95,-71.34,57.2,82,39,4.47,CL,1589008472
167,yerbogachen,61.28,108.01,47.8,49,100,7.81,RU,1589008472
168,saint-joseph,-21.37,55.62,80.6,65,40,11.41,RE,1589008472
169,abashiri,44.02,144.27,64.99,42,40,13.87,JP,1589008472
170,rosetta,31.4,30.42,69.8,68,40,16.11,EG,1589008473
171,praya,14.92,-23.51,71.6,73,20,13.87,CV,1589008473
172,amahai,-3.33,128.92,82.99,77,100,8.39,ID,1589008473
173,kununurra,-15.77,128.73,95.0,21,99,9.17,AU,1589008473
174,portland,45.52,-122.68,70.0,41,1,1.01,US,1589008219
175,khani,41.96,42.96,55.4,82,90,9.17,GE,1589008474
176,faanui,-16.48,-151.75,82.06,81,77,15.35,PF,1589008475
177,codrington,-38.27,141.97,49.23,71,100,20.49,AU,1589008475
178,asau,46.43,26.4,55.4,71,100,3.36,RO,1589008475
179,baiyin,36.56,104.21,59.0,28,0,8.95,CN,1589008476
180,stromness,58.97,-3.3,46.4,81,100,3.36,GB,1589008486
181,tambura,5.6,27.47,73.49,91,100,6.26,SS,1589008487
182,mount isa,-20.73,139.5,91.4,15,23,11.41,AU,1589008487
183,norman wells,65.28,-126.83,30.2,80,5,8.05,CA,1589008487
184,labuhan,-6.88,112.21,86.63,69,100,7.87,ID,1589008487
185,cranbrook,49.5,-115.77,50.0,57,75,8.05,CA,1589008487
186,cidreira,-30.18,-50.21,58.62,86,0,8.66,BR,1589008488
187,manokwari,-0.87,134.08,84.42,76,33,5.26,ID,1589008488
188,bilibino,68.05,166.44,37.31,77,14,8.7,RU,1589008488
189,bereda,43.27,-7.54,57.0,100,97,1.99,ES,1589008488
190,lokosovo,61.13,74.82,77.45,28,100,17.05,RU,1589008489
191,hasaki,35.73,140.83,68.0,60,75,11.41,JP,1589008489
192,veraval,20.9,70.37,90.37,54,0,12.73,IN,1589008489
193,longyearbyen,78.22,15.64,24.8,62,40,9.17,SJ,1589008489
194,amalapuram,16.58,82.02,93.2,59,40,4.7,IN,1589008489
195,the pas,53.83,-101.25,30.2,74,90,6.15,CA,1589008490
196,coahuayana,18.73,-103.68,74.7,65,0,2.68,MX,1589008490
197,tiksi,71.69,128.87,22.84,96,100,6.91,RU,1589008490
198,jinxi,30.43,116.29,80.22,60,84,5.5,CN,1589008490
199,alofi,-19.06,-169.92,78.8,88,40,3.36,NU,1589008491
200,paramirim,-13.44,-42.24,67.15,84,100,7.83,BR,1589008359
201,airai,-8.93,125.41,68.67,88,62,3.83,TL,1589008491
202,dinar,38.06,30.17,57.2,54,0,13.87,TR,1589008491
203,sao joao da barra,-21.64,-41.05,63.75,83,0,8.63,BR,1589008491
204,karacabey,40.22,28.4,59.0,77,0,6.93,TR,1589008492
205,mar del plata,-38.0,-57.56,55.0,76,100,16.11,AR,1589008492
206,juneau,58.3,-134.42,50.0,70,20,3.36,US,1589008492
207,provideniya,64.38,-173.3,37.58,78,29,16.17,RU,1589008492
208,magadan,59.57,150.8,39.43,71,39,11.16,RU,1589008492
209,komsomolskiy,40.43,71.72,73.4,49,1,11.41,UZ,1589008493
210,valparaiso,-33.04,-71.63,53.11,88,1,4.74,CL,1589008493
211,ulladulla,-35.35,150.47,69.8,32,0,18.34,AU,1589008493
212,phan thiet,10.93,108.1,92.25,53,85,13.0,VN,1589008493
213,yar-sale,66.83,70.83,36.82,83,0,0.69,RU,1589008493
214,tevaitoa,-16.78,-151.5,82.92,77,95,14.85,PF,1589008494
215,mmabatho,-25.85,25.63,64.4,52,15,2.24,ZA,1589008494
216,atar,20.52,-13.05,77.07,20,0,12.35,MR,1589008494
217,presidencia roque saenz pena,-26.79,-60.44,47.3,57,0,6.13,AR,1589008494
218,sur,22.57,59.53,93.49,40,0,13.65,OM,1589008495
219,victoria,22.29,114.16,87.01,70,84,13.0,HK,1589008402
220,saint-augustin,51.23,-58.65,35.22,95,100,11.23,CA,1589008495
221,joao pinheiro,-17.74,-46.17,61.09,95,91,6.42,BR,1589008495
222,santiago del estero,-27.8,-64.26,54.54,61,0,9.35,AR,1589008496
223,bereznik,62.86,42.71,52.5,52,5,4.43,RU,1589008496
224,kaitangata,-46.28,169.85,54.0,76,51,3.0,NZ,1589008496
225,karpathos,35.51,27.21,68.0,60,20,29.97,GR,1589008496
226,ancud,-41.87,-73.82,52.0,87,40,11.41,CL,1589008496
227,conceicao da barra,-18.59,-39.73,64.27,89,16,6.17,BR,1589008497
228,kitimat,54.05,-128.65,53.01,62,100,4.68,CA,1589008497
229,panguna,-6.32,155.48,74.86,93,100,1.81,PG,1589008497
230,sandnessjoen,66.02,12.63,39.2,51,95,4.7,NO,1589008497
231,ruzhyn,49.72,29.2,53.6,58,98,6.71,UA,1589008498
232,muros,42.78,-9.06,59.0,84,100,3.0,ES,1589008498
233,college,64.86,-147.8,59.0,52,75,3.36,US,1589008289
234,balikpapan,-1.27,116.83,86.58,72,85,6.24,ID,1589008498
235,cascais,38.7,-9.42,62.01,87,98,14.76,PT,1589008498
